date,taux_chomage_total_insee,taux_chomage_homme_insee,taux_chomage_femme_insee,taux_chomage_15_24_insee,taux_chomage_25_49_insee,taux_chomage_50_plus_insee,demandeur_total_abcd_total,demandeur_homme_abcd_total,demandeur_femme_abcd_total,demandeur_total_abcd_moins25,demandeur_total_abcd_2549,demandeur_total_abcd_plus50,demandeur_homme_abcd_moins25,demandeur_homme_abcd_2549,demandeur_homme_abcd_plus50,demandeur_femme_abcd_moins25,demandeur_femme_abcd_2549,demandeur_femme_abcd_plus50,population_active,pib,ict,nb_interimaires,taux_euribor_3m,mro,taux_change_eur_dollar,ipc,isj,ipc_energie_only,taux_chomage_ocde,nb_defaillances_entreprise,nb_offres_france_travail,indicateur_confiance_menage,indicateur_climat_affaires,indicateur_climat_emploi,indicateur_retournement_conjoncturel,population_active_var,nb_offres_france_travail_var,nb_defaillances_entreprise_var,nb_interimaires_var,pib_logdiff,pib_logdiff_lag,ipc_yoy,ipc_energie_only_yoy,ict_var,isj_diff,taux_chomage_total_insee_diff,taux_chomage_ocde_diff,indicateur_confiance_menage_zscore,indicateur_climat_affaires_zscore,indicateur_climat_emploi_zscore,indicateur_confiance_menage_diff,indicateur_climat_emploi_diff,indicateur_climat_affaires_diff,indicateur_climat_affaires_diff_lag,taux_euribor_3m_diff,mro_diff,taux_change_eur_dollar_var,is_covid
2000-01-01,9.1,8.0,10.3,19.0,8.4,6.1,4018600.0,1774200.0,2244400.0,690800.0,2764100.0,563700.0,310100.0,1190400.0,273700.0,380700.0,1573700.0,290000.0,27313657.0,480413.0,64.0,626034.321716824,3.5422999999999996,3.25,0.9686,1.4666666666666668,0.8666666666666667,13.0,10.233333333333333,12348.0,831900.0,120.225734862749,116.7,112.9,1.0,0.0015721679275964018,0.24834933973589446,-0.007076230299131514,0.04613696482615515,0.009694791737612007,0.014062916961322003,1.2466666666666668,18.38,0.009463722397476282,0.20000000000000007,-0.40000000000000036,-0.43333333333333357,2.106985506009952,1.7230136071986586,1.3454482157672563,0.38903905026499785,-4.099999999999994,-4.299999999999997,5.900000000000006,0.11249999999999938,0.4166666666666665,-0.050268008890050786,0
2000-04-01,8.7,7.6,9.9,18.0,8.0,5.8,3890000.0,1701100.0,2188900.0,654800.0,2673800.0,561400.0,291600.0,1139200.0,270300.0,363200.0,1534600.0,291100.0,27345643.25,485729.0,64.8,654917.645197839,4.263,3.9166666666666665,0.9314666666666667,1.4333333333333333,1.0999999999999999,12.833333333333334,9.700000000000001,10605.0,875300.0,123.279474980609,117.0,118.9,1.0,0.0011710716730461979,0.05216973193893493,-0.141156462585034,0.04613696482615515,0.011004704585355185,0.009694791737612007,1.0666666666666667,14.533333333333333,0.012499999999999956,0.23333333333333317,-0.40000000000000036,-0.5333333333333314,2.4097976060578166,1.7544735344306879,1.977184661404201,3.053740117860002,6.0,0.29999999999999716,-4.299999999999997,0.7207000000000003,0.6666666666666665,-0.03833711886571689,0
2000-07-01,8.4,7.2,9.6,17.4,7.8,5.5,3807900.0,1659300.0,2148600.0,632600.0,2613900.0,561400.0,281900.0,1108900.0,268500.0,350700.0,1505000.0,292900.0,27377629.5,489490.0,65.1,665404.780110458,4.7376000000000005,4.25,0.8971333333333332,1.9000000000000001,1.2333333333333334,14.066666666666668,9.266666666666667,9025.0,822700.0,118.798186880835,118.4,117.8,1.0,0.001169701868322326,-0.06009368216611444,-0.14898632720414895,0.016012906339469613,0.00771317754496792,0.011004704585355185,1.3666666666666667,11.633333333333335,0.004629629629629539,0.13333333333333353,-0.29999999999999893,-0.43333333333333357,1.9654283381965372,1.90128652818016,1.861366313037427,-4.481288099773991,-1.1000000000000085,1.4000000000000057,0.29999999999999716,0.4746000000000006,0.3333333333333335,-0.03685943315201845,0
2000-10-01,8.0,6.9,9.4,16.9,7.5,5.2,3690300.0,1601400.0,2088900.0,604600.0,2530000.0,555700.0,267400.0,1069500.0,264500.0,337200.0,1460500.0,291200.0,27409615.75,492460.0,65.9,651193.119729661,5.024166666666666,4.25,0.8802,1.9000000000000001,1.3666666666666665,11.133333333333333,8.9,11990.0,691600.0,123.650611426631,114.5,118.8,0.9,0.0011683352643807599,-0.15935334872979212,0.3285318559556787,-0.02135791747459015,0.006049206286952824,0.00771317754496792,0.9000000000000001,4.466666666666666,0.012288786482335112,0.13333333333333308,-0.40000000000000036,-0.36666666666666714,2.4465998885988016,1.4923074741637745,1.9666557206435844,4.852424545795998,1.0,-3.9000000000000057,1.4000000000000057,0.2865666666666655,0.0,-0.01887493497807824,0
2001-01-01,7.8,6.6,9.2,16.8,7.3,4.9,3609400.0,1565300.0,2044100.0,588000.0,2468100.0,553300.0,260900.0,1041900.0,262500.0,327100.0,1426200.0,290800.0,27441602.0,495040.0,66.6,676865.312560305,4.745033333333333,4.25,0.9124333333333333,1.3,1.4333333333333333,0.6666666666666666,8.7,9060.0,805000.0,122.532617125867,113.4,117.4,0.6,0.0011669718500157966,0.16396761133603244,-0.24437030859049202,0.03942331706652791,0.0052253283450518495,0.006049206286952824,-0.16666666666666674,-12.333333333333334,0.010622154779969417,0.06666666666666687,-0.20000000000000018,-0.20000000000000107,2.33573839122517,1.3769544076463334,1.819250549994965,-1.1179943007639963,-1.3999999999999915,-1.0999999999999943,-3.9000000000000057,-0.27913333333333323,0.0,0.036620465045822836,0
2001-04-01,7.7,6.5,9.1,16.7,7.2,4.9,3581100.0,1558900.0,2022200.0,586200.0,2442800.0,552100.0,263400.0,1034100.0,261400.0,322800.0,1408700.0,290700.0,27533563.75,495137.0,66.8,645555.263713707,4.590766666666667,4.25,0.8611999999999999,2.0666666666666664,1.3999999999999997,2.3666666666666667,8.733333333333333,12287.0,822200.0,114.69542497586,104.3,110.2,-0.7,0.0033511800805214875,0.021366459627329082,0.35618101545253866,-0.04625742856900861,0.00019592456764883082,0.0052253283450518495,0.6333333333333331,-10.466666666666667,0.0030030030030030463,-0.03333333333333366,-0.09999999999999964,0.033333333333333215,1.5585941281811546,0.42266994827476767,1.0611668152306308,-7.837192150006999,-7.200000000000003,-9.100000000000009,-1.0999999999999943,-0.15426666666666566,0.0,-0.056150221020713986,0
2001-07-01,7.7,6.7,8.9,17.0,7.2,4.9,3592500.0,1578300.0,2014200.0,597800.0,2442200.0,552500.0,275100.0,1042200.0,261000.0,322700.0,1400000.0,291500.0,27625525.5,497990.0,67.2,629667.972117551,4.267833333333333,4.25,0.9014666666666665,1.7666666666666666,1.7333333333333334,-2.866666666666667,8.8,9316.0,784800.0,110.667213158438,98.8,107.0,-1.0,0.0033399871820078975,-0.045487715884213076,-0.24180027671522752,-0.024610273495038415,0.005745504549404146,0.00019592456764883082,-0.13333333333333353,-16.933333333333337,0.005988023952095967,0.3333333333333337,0.0,0.0666666666666682,1.1591523836996414,-0.15409538431244174,0.7242407108909266,-4.0282118174220045,-3.200000000000003,-5.5,-9.100000000000009,-0.3229333333333342,0.0,0.04675646384889309,0
2001-10-01,7.8,6.9,8.8,17.3,7.2,4.8,3658600.0,1627700.0,2030900.0,620900.0,2476500.0,561200.0,292600.0,1069500.0,265600.0,328300.0,1407000.0,295600.0,27717487.25,495811.0,67.6,596817.192806606,3.4435000000000002,4.25,0.8917666666666667,1.4333333333333333,1.9000000000000001,-6.6000000000000005,8.8,12619.0,682200.0,112.210771028185,95.6,103.3,-0.8,0.0033288688028758617,-0.1307339449541285,0.35455130957492487,-0.05217159005319749,-0.004385190781308168,0.005745504549404146,-0.4666666666666668,-17.733333333333334,0.005952380952380931,0.16666666666666674,0.09999999999999964,0.0,1.3122132146949927,-0.48966794145409115,0.3346699027481436,1.5435578697469907,-3.700000000000003,-3.200000000000003,-5.5,-0.8243333333333327,0.0,-0.010760242567667277,0
2002-01-01,7.8,7.1,8.7,17.5,7.2,4.9,3693700.0,1663200.0,2030500.0,630400.0,2496500.0,566800.0,301500.0,1093000.0,268700.0,328900.0,1403500.0,298100.0,27809449.0,498679.0,68.5,615727.777476742,3.3622333333333336,4.25,0.8670666666666667,2.1666666666666665,2.1666666666666665,-2.9333333333333336,8.766666666666667,11208.0,760700.0,111.988639528344,100.1,101.4,1.0,0.003317824201398256,0.115068894752272,-0.11181551628496711,0.03168572369908906,0.005767796460341756,-0.004385190781308168,0.8666666666666665,-3.6,0.013313609467455745,0.2666666666666664,0.0,-0.033333333333333215,1.2901864202208213,-0.01776903297364708,0.13462002829644532,-0.222131499840998,-1.8999999999999915,4.5,-3.200000000000003,-0.0812666666666666,0.0,-0.027697828280940473,0
2002-04-01,7.9,7.2,8.6,17.6,7.2,5.1,3724100.0,1693400.0,2030700.0,635200.0,2515500.0,573400.0,306400.0,1113900.0,273100.0,328800.0,1401600.0,300300.0,27942020.25,500985.0,69.1,613036.439706958,3.4459999999999997,4.25,0.9456666666666668,1.6333333333333335,2.1,-3.766666666666666,8.633333333333333,11627.0,827600.0,113.046018423306,102.2,101.8,0.07,0.004767129690343763,0.08794531352701451,0.03738401142041403,-0.004370986446012193,0.004613558336101775,0.005767796460341756,-0.4333333333333329,-6.133333333333333,0.008759124087591053,-0.06666666666666643,0.10000000000000053,-0.13333333333333464,1.395037229841816,0.20245045765056105,0.1767357913389074,1.0573788949619995,0.3999999999999915,2.1000000000000085,4.5,0.0837666666666661,0.0,0.0906504690143013,0
