time_period;obs_value;description
1953-T2;86769;A
1953-T1;85389;A
1952-T4;84465;A
1952-T3;84647;A
1952-T2;83829;A
1952-T1;84279;A
1951-T4;82838;A
1951-T3;82012;A
1951-T2;80851;A
1951-T1;80269;A
1950-T4;80231;A
1950-T3;78356;A
1950-T2;76502;A
1950-T1;74617;A
1949-T4;72621;A
1949-T3;71621;A
1949-T2;70564;A
1949-T1;69933;A
