time_period;obs_value
31/03/1999;5054
28/02/1999;4391
31/01/1999;4458
31/12/1998;4173
30/11/1998;4413
31/10/1998;4902
30/09/1998;4919
31/08/1998;1462
31/07/1998;4113
30/06/1998;4543
31/05/1998;3928
30/04/1998;4460
31/03/1998;4905
28/02/1998;4981
31/01/1998;5169
31/12/1997;4835
30/11/1997;4765
31/10/1997;5782
30/09/1997;5312
31/08/1997;1784
31/07/1997;5023
30/06/1997;5405
31/05/1997;4735
30/04/1997;5120
31/03/1997;5210
28/02/1997;5431
31/01/1997;5584
31/12/1996;5053
30/11/1996;5199
31/10/1996;6249
30/09/1996;5375
31/08/1996;1962
31/07/1996;5185
30/06/1996;5166
31/05/1996;4649
30/04/1996;4978
31/03/1996;5210
29/02/1996;5501
31/01/1996;5233
31/12/1995;4654
30/11/1995;5691
31/10/1995;5802
30/09/1995;5361
31/08/1995;1962
31/07/1995;4571
30/06/1995;5208
31/05/1995;4552
30/04/1995;4481
31/03/1995;5643
28/02/1995;5362
31/01/1995;5658
31/12/1994;4778
30/11/1994;5424
31/10/1994;5498
30/09/1994;5467
31/08/1994;1833
31/07/1994;4781
30/06/1994;5734
31/05/1994;5142
30/04/1994;4806
31/03/1994;5944
28/02/1994;5599
31/01/1994;5948
31/12/1993;5014
30/11/1993;5620
31/10/1993;6155
30/09/1993;5790
31/08/1993;2337
31/07/1993;5232
30/06/1993;5928
31/05/1993;4941
30/04/1993;5034
31/03/1993;6330
28/02/1993;5598
31/01/1993;5730
31/12/1992;5279
30/11/1992;5645
31/10/1992;5946
30/09/1992;5287
31/08/1992;1993
31/07/1992;5064
30/06/1992;5170
31/05/1992;4440
30/04/1992;4897
31/03/1992;5309
29/02/1992;5208
31/01/1992;5351
31/12/1991;4423
30/11/1991;4648
31/10/1991;5492
30/09/1991;4395
31/08/1991;1828
31/07/1991;4594
30/06/1991;4697
31/05/1991;4031
30/04/1991;4558
31/03/1991;4839
28/02/1991;4601
31/01/1991;4757
31/12/1990;3894
30/11/1990;4584
31/10/1990;4808
30/09/1990;3934
31/08/1990;1679
31/07/1990;3803
30/06/1990;4060
31/05/1990;3744
30/04/1990;3506
31/03/1990;4304
28/02/1990;3815
31/01/1990;3998
