Date;taux_de_change
2010-04-30;1,3315
2010-05-31;1,2307
2010-06-30;1,2271
2010-07-31;1,3028
2010-08-31;1,268
2010-09-30;1,3648
2010-10-31;1,3857
2010-11-30;1,2998
2010-12-31;1,3362
2011-01-31;1,3692
2011-02-28;1,3834
2011-03-31;1,4207
2011-04-30;1,486
2011-05-31;1,4385
2011-06-30;1,4453
2011-07-31;1,426
2011-08-31;1,445
2011-09-30;1,3503
2011-10-31;1,4001
2011-11-30;1,3418
2011-12-31;1,2939
2012-01-31;1,3176
2012-02-29;1,3443
2012-03-31;1,3356
2012-04-30;1,3214
2012-05-31;1,2403
2012-06-30;1,259
2012-07-31;1,2284
2012-08-31;1,2611
2012-09-30;1,293
2012-10-31;1,2993
2012-11-30;1,2986
2012-12-31;1,3194
2013-01-31;1,355
2013-02-28;1,3129
2013-03-31;1,2805
2013-04-30;1,3072
2013-05-31;1,3006
2013-06-30;1,308
2013-07-31;1,3275
2013-08-31;1,3235
2013-09-30;1,3505
2013-10-31;1,3641
2013-11-30;1,3611
2013-12-31;1,3791
2014-01-31;1,3516
2014-02-28;1,3813
2014-03-31;1,3788
2014-04-30;1,385
2014-05-31;1,3607
2014-06-30;1,3658
2014-07-31;1,3379
2014-08-31;1,3188
2014-09-30;1,2583
2014-10-31;1,2524
2014-11-30;1,2483
2014-12-31;1,2141
2015-01-31;1,1305
2015-02-28;1,124
2015-03-31;1,0759
2015-04-30;1,1215
2015-05-31;1,097
2015-06-30;1,1189
2015-07-31;1,0967
2015-08-31;1,1215
2015-09-30;1,1203
2015-10-31;1,1017
2015-11-30;1,0579
2015-12-31;1,0887
2016-01-31;1,092
2016-02-29;1,0888
2016-03-31;1,1385
2016-04-30;1,1403
2016-05-31;1,1154
2016-06-30;1,1102
2016-07-31;1,1113
2016-08-31;1,1132
2016-09-30;1,1161
2016-10-31;1,0946
2016-11-30;1,0635
2016-12-31;1,0541
2017-01-31;1,0755
2017-02-28;1,0597
2017-03-31;1,0691
2017-04-30;1,093
2017-05-31;1,1221
2017-06-30;1,1412
2017-07-31;1,1727
2017-08-31;1,1825
2017-09-30;1,1806
2017-10-31;1,1638
2017-11-30;1,1849
2017-12-31;1,1993
2018-01-31;1,2457
2018-02-28;1,2214
2018-03-31;1,2321
2018-04-30;1,2079
2018-05-31;1,1699
2018-06-30;1,1658
2018-07-31;1,1736
2018-08-31;1,1651
2018-09-30;1,1576
2018-10-31;1,1318
2018-11-30;1,1359
2018-12-31;1,145
2019-01-31;1,1488
2019-02-28;1,1416
2019-03-31;1,1235
2019-04-30;1,1218
2019-05-31;1,1151
2019-06-30;1,138
2019-07-31;1,1151
2019-08-31;1,1036
2019-09-30;1,0889
2019-10-31;1,1154
2019-11-30;1,0982
2019-12-31;1,1234
2020-01-31;1,1052
2020-02-29;1,0977
2020-03-31;1,0956
2020-04-30;1,0876
2020-05-31;1,1136
2020-06-30;1,1198
2020-07-31;1,1848
2020-08-31;1,194
2020-09-30;1,1708
2020-10-31;1,1698
2020-11-30;1,198
2020-12-31;1,2271
2021-01-31;1,2136
2021-02-28;1,2121
2021-03-31;1,1725
2021-04-30;1,2082
2021-05-31;1,2201
2021-06-30;1,1884
2021-07-31;1,1891
2021-08-31;1,1834
2021-09-30;1,1579
2021-10-31;1,1645
2021-11-30;1,1363
2021-12-31;1,1326
2022-01-31;1,1156
2022-02-28;1,1199
2022-03-31;1,1101
2022-04-30;1,054
2022-05-31;1,0713
2022-06-30;1,0387
2022-07-31;1,0198
2022-08-31;1
2022-09-30;0,9748
2022-10-31;0,9914
2022-11-30;1,0376
2022-12-31;1,0666
2023-01-31;1,0833
2023-02-28;1,0619
2023-03-31;1,0875
2023-04-30;1,0981
2023-05-31;1,0683
2023-06-30;1,0866
2023-07-31;1,1023
2023-08-31;1,0868
2023-09-30;1,0594
2023-10-31;1,0619
2023-11-30;1,0931
2023-12-31;1,105
2024-01-31;1,0837
2024-02-29;1,0826
2024-03-31;1,0811
2024-04-30;1,0718
2024-05-31;1,0852
2024-06-30;1,0705
2024-07-31;1,0828
2024-08-31;1,1087
2024-09-30;1,1196
2024-10-31;1,0882
2024-11-30;1,0562
2024-12-31;1,0389
2025-01-31;1,0393
2025-02-28;1,0411
2025-03-31;1,0815
2025-04-30;1,1373
2025-05-31;1,1339
2025-06-30;1,172
2025-07-31;1,1446
2025-08-31;1,1658
2025-09-30;1,1741
2025-10-31;1,1554
2025-11-30;1,1566
2025-12-31;1,175
2026-01-31;1,1919
2026-02-28;1,1805
